job,skill,years
Technical Lead / ClipFile,_Hibernate,5
Technical Lead / ClipFile,Flyway,5
Technical Lead / ClipFile,Jboss,5
Technical Lead / ClipFile,WebSphere,5
Technical Lead / ClipFile,Spring,5
Technical Lead / ClipFile,Spring JPA,5
Technical Lead / ClipFile,Hibernate,5
Technical Lead / ClipFile,Maven,5
Technical Lead / ClipFile,Ant,5
Technical Lead / ClipFile,Selenium,5
Technical Lead / ClipFile,_IAM,5
Technical Lead / ClipFile,_S3,5
Technical Lead / ClipFile,Akamai,5
Technical Lead / ClipFile,VSCode,5
Technical Lead / ClipFile,Omnigraffle,5
Technical Lead / ClipFile,MS Project,5
Technical Lead / ClipFile.1,Apache Parquet,5
Technical Lead / ClipFile.1,_Secrets Manager,5
Technical Lead / ClipFile.1,_CLI,5
Technical Lead / ClipFile.1,_architecture,5
Technical Lead / ClipFile.1,API Gateway,5
Technical Lead / ClipFile.1,Vue,5
Technical Lead / ClipFile.1,Vuetify,5
Technical Lead / ClipFile.1,JQuery,5
Technical Lead / ClipFile.1,XSLT,5
Technical Lead / ClipFile.1,Altova XMLSpy,5
Technical Lead / ClipFile.1,SnowFlake,5
Technical Lead / ClipFile.1,DynamoDB,5
Technical Lead / ClipFile.1,_Hibernate,5
Technical Lead / ClipFile.1,Flyway,5
Technical Lead / ClipFile.1,Jboss,5
Technical Lead / ClipFile.1,Spring,5
Technical Lead / ClipFile.1,Spring JPA,5
Technical Lead / ClipFile.1,Hibernate,5
Technical Lead / ClipFile.1,Maven,5
Technical Lead / ClipFile.1,Ant,5
Technical Lead / ClipFile.1,Selenium,5
Technical Lead / ClipFile.1,_IAM,5
Technical Lead / ClipFile.1,_S3,5
Technical Lead / ClipFile.1,Akamai,5
Technical Lead / ClipFile.1,VSCode,5
Technical Lead / ClipFile.1,Omnigraffle,5
Technical Lead / ClipFile.1,MS Project,5
Technical Lead / ClipFile.2,Apache Parquet,5
Technical Lead / ClipFile.2,_Secrets Manager,5
Technical Lead / ClipFile.2,_CLI,5
Technical Lead / ClipFile.2,_architecture,5
Technical Lead / ClipFile.2,API Gateway,5
Technical Lead / ClipFile.2,Vue,5
Technical Lead / ClipFile.2,Vuetify,5
Technical Lead / ClipFile.2,JQuery,5
Technical Lead / ClipFile.2,XSLT,5
Technical Lead / ClipFile.2,Altova XMLSpy,5
Technical Lead / ClipFile.2,DynamoDB,5
Technical Lead / ClipFile.2,_Hibernate,5
Technical Lead / ClipFile.2,Flyway,5
Technical Lead / ClipFile.2,Jboss,5
Technical Lead / ClipFile.2,Spring,5
Technical Lead / ClipFile.2,Spring JPA,5
Technical Lead / ClipFile.2,Hibernate,5
Technical Lead / ClipFile.2,Maven,5
Technical Lead / ClipFile.2,Ant,5
Technical Lead / ClipFile.2,Selenium,5
Technical Lead / ClipFile.2,_IAM,5
Technical Lead / ClipFile.2,_S3,5
Technical Lead / ClipFile.2,Akamai,5
Technical Lead / ClipFile.2,VSCode,5
